Name;Url;Year/s;Certificate;Duration;Rating;Votes;
La casa de papel;/title/tt6468322/;(2017–2021);16;70 min;8.3;452,667;
Queen of the South;/title/tt1064899/;(2016–2021);16;42 min;8.1;27,510;
Élite;/title/tt7134908/;(2018– );13;60 min;7.5;70,654;
Los Proud: Más ruidosos y orgullosos;/title/tt11871764/;(2022– );;30 min;5.9;785;
Hora de aventuras;/title/tt1305826/;(2010–2018);;11 min;8.7;89,180;
Gravity Falls;/title/tt1865718/;(2012–2016);TP;23 min;8.9;96,098;
Toy Boy;/title/tt8693266/;(2019– );16;;6.6;7,303;
Anfibilandia;/title/tt8050740/;(2019– );TP;23 min;8.2;4,443;
Mentiras;/title/tt11157300/;(2020);16;50 min;6.4;986;
La cocinera de Castamar;/title/tt12626014/;(2021);12;;7.4;3,560;
Steven Universe;/title/tt3061046/;(2013–2020);;11 min;8.3;31,716;
El Internado: Las Cumbres;/title/tt11709206/;(2021– );16;;6.6;1,437;
Criminal: Reino Unido;/title/tt9348692/;(2019–2020);13;43 min;7.6;17,869;
Vis a vis;/title/tt4524056/;(2015–2019);16;53 min;8.2;21,191;
White Lines;/title/tt9073958/;(2020);16;60 min;6.6;16,591;
Drag Race España;/title/tt14148898/;(2021– );16;66 min;8.8;1,849;
Valeria;/title/tt9731288/;(2020– );16;47 min;6.5;5,435;
La Reina del Sur;/title/tt1704637/;(2011– );16;378 min;8.0;2,481;
Una casa de locos;/title/tt4859164/;(2015– );7;22 min;7.1;6,017;
La Unidad;/title/tt10230502/;(2020– );18;;7.3;1,234;
Feria: La luz más oscura;/title/tt13323004/;(2022– );16;50 min;5.7;1,939;
Las chicas del cable;/title/tt5674718/;(2017–2020);16;50 min;7.6;14,044;
Alta mar;/title/tt8961508/;(2019–2020);16;50 min;6.8;7,198;
Merlí;/title/tt4580372/;(2015–2018);13;58 min;8.6;8,158;
Leonardo;/title/tt7950706/;(2021– );;52 min;7.2;2,892;
Merlí. Sapere Aude;/title/tt9415632/;(2019–2021);16;50 min;7.7;1,620;
Velvet;/title/tt2955402/;(2013–2016);16;43 min;8.2;5,977;
Kosta (The paradise);/title/tt9100346/;(2020– );;370 min;7.1;376;
The Mallorca Files;/title/tt9204128/;(2019– );;45 min;6.6;2,011;
El desorden que dejas;/title/tt9731242/;(2020);16;56 min;6.8;8,723;
30 Monedas;/title/tt9764386/;(2020– );16;60 min;7.2;7,102;
Vivir sin permiso;/title/tt6970700/;(2018–2020);16;75 min;7.5;4,490;
El internado;/title/tt1024810/;(2007–2010);12;75 min;8.2;4,953;
The Head;/title/tt8290362/;(2020– );16;;6.9;6,216;
Star contra las fuerzas del mal;/title/tt2758770/;(2015–2019);TP;22 min;8.1;13,979;
Gran Hotel;/title/tt2006421/;(2011–2013);12;60 min;8.4;10,267;
Érase una vez... pero ya no;/title/tt13560186/;(2022– );16;30 min;5.4;393;
El Cid;/title/tt10689614/;(2020– );16;70 min;6.7;3,395;
Bienvenidos a Edén;/title/tt13457822/;(2022– );;;;;
Hispania, la leyenda;/title/tt1691593/;(2010–2012);7;;6.4;567;
La Fortuna;/title/tt10714778/;(2021);7;60 min;6.6;1,084;
Sky Rojo;/title/tt8690776/;(2021–2022);18;31 min;6.6;8,499;
Entrevías;/title/tt13980362/;(2021– );16;79 min;7.4;90;
La Maldición de Molly McGee;/title/tt10684374/;(2021– );TP;22 min;7.3;752;
La catedral del mar;/title/tt4944694/;(2018);16;55 min;7.5;4,141;
La que se avecina;/title/tt0922037/;(2007– );12;75 min;7.6;3,597;
El embarcadero;/title/tt8297022/;(2019–2020);18;50 min;7.2;3,319;
El Ministerio del Tiempo;/title/tt4136774/;(2015–2020);12;70 min;8.2;4,885;
Hierro;/title/tt8337662/;(2019– );16;;7.6;2,203;
Velvet Colección;/title/tt6762348/;(2017–2019);12;54 min;7.3;1,388;
Jaguar;/title/tt11698590/;(2021– );16;50 min;5.8;1,669;
Hache;/title/tt8575476/;(2019–2021);16;50 min;6.5;1,601;
MotoGP Unlimited;/title/tt18396468/;(2022– );TP;;8.0;203;
Looney Tunes Cartoons;/title/tt8543208/;(2019– );;12 min;8.0;1,302;
Paraíso;/title/tt11623464/;(2021– );16;;5.5;387;
The Casagrandes;/title/tt9165462/;(2019–2022);;22 min;5.7;1,177;
El tiempo entre costuras;/title/tt1864750/;(2013–2014);7;853 min;8.3;4,153;
Todo lo otro;/title/tt13666762/;(2021– );16;30 min;6.8;439;
Benvinguts a la família;/title/tt7490342/;(2018–2019);13;;6.7;437;
Isabel;/title/tt2011533/;(2011–2014);12;75 min;8.3;2,182;
La valla;/title/tt9460858/;(2020– );16;50 min;6.8;3,414;
Antidisturbios;/title/tt10883660/;(2020);16;306 min;8.1;3,791;
Los herederos de la tierra;/title/tt13308276/;(2022– );;50 min;;;
Cuéntame cómo pasó;/title/tt0302447/;(2001– );TP;60 min;7.5;1,386;
Mar de plástico;/title/tt4719586/;(2015–2016);16;70 min;7.2;1,933;
Instinto;/title/tt8382834/;(2019);18;47 min;6.1;955;
Si no t'hagués conegut;/title/tt8517780/;(2018);16;60 min;7.6;2,343;
Las supernenas;/title/tt4718304/;(2016–2019);TP;60 min;3.5;4,214;
La caza. Monteperdido;/title/tt8787372/;(2019–2022);16;70 min;7.1;712;
El barco;/title/tt1788634/;(2011–2013);12;75 min;7.4;4,695;
Beyblade;/title/tt0328733/;(2001–2005);;30 min;6.8;6,047;
La Templanza;/title/tt10681240/;(2021);16;;7.1;671;
Skam España;/title/tt8976944/;(2018–2020);16;25 min;7.5;872;
#Luimelia;/title/tt11396318/;(2020– );12;8 min;8.0;165;
Vis a Vis: El Oasis;/title/tt10375568/;(2020);18;45 min;6.7;4,053;
Todos mienten;/title/tt13195218/;(2022– );16;42 min;5.8;331;
Perdida;/title/tt10064124/;(2020);16;50 min;7.2;2,296;
Hernán;/title/tt9645942/;(2019– );18;;7.5;1,124;
Galactik Fútbol;/title/tt0877105/;(2006–2011);7;26 min;7.8;2,992;
Los Serrano;/title/tt0362372/;(2003–2008);TP;60 min;7.5;3,644;
Alba;/title/tt12446242/;(2021);16;50 min;7.0;79;
Express;/title/tt14253638/;(2022– );18;60 min;6.7;97;
Paquita Salas;/title/tt5866074/;(2016– );13;;8.0;3,056;
Los hombres de Paco;/title/tt0475464/;(2005– );16;80 min;7.1;2,098;
Camera café;/title/tt0481033/;(2005– );TP;45 min;6.4;976;
Foodie Love;/title/tt9894488/;(2019– );12;;7.8;1,639;
Un paso adelante;/title/tt0338639/;(2002–2005);TP;50 min;6.3;1,469;
Aquí no hay quien viva;/title/tt0381733/;(2003–2006);7;60 min;8.2;3,929;
El tiempo que te doy;/title/tt13322938/;(2021– );16;10 min;7.1;1,157;
Metaru Faito Beibureedo;/title/tt1674928/;(2009–2013);7;30 min;6.3;1,662;
La víctima número 8;/title/tt8500086/;(2018);16;53 min;7.0;1,982;
Digimon Adventure;/title/tt11645760/;(2020– );;;7.1;542;
Física o química;/title/tt1153059/;(2008–2011);18;75 min;6.4;1,551;
Parot;/title/tt13024344/;(2021– );18;60 min;5.5;412;
El Desafío;/title/tt12642796/;(2020– );13;50 min;8.2;559;
Tiempos de guerra;/title/tt6740146/;(2017);12;70 min;7.6;3,052;
Pocoyó;/title/tt0487849/;(2005– );;7 min;7.4;1,577;
El edén perdido;/title/tt1029110/;(2007 TV Movie);;96 min;5.2;24;
Servir y proteger;/title/tt6471068/;(2017– );7;;5.4;97;
Carlos, rey emperador;/title/tt4418020/;(2015–2016);12;;7.5;635;
Sin límites;/title/tt11895484/;(2021– );;;8.4;5;
